ts,type,side,price_ticks,qty,id
1784862986622265764,add,sell,653458,849,9761
1784862986622265764,cancel,sell,653329,0,9686
1784862986622265764,add,sell,653329,384,9762
1784862986634216421,add,sell,653362,591510,9763
1784862986826619173,add,buy,653246,591510,9764
1784862986826826532,cancel,sell,653329,0,9762
1784862986826826532,add,sell,653329,294,9765
1784862986826826532,add,sell,653298,90,9766
1784862986839861722,cancel,sell,653298,0,9766
1784862986839861722,cancel,sell,653457,0,9739
1784862986839861722,add,sell,653457,20739,9767
1784862986839861722,cancel,sell,653329,0,9765
1784862986839861722,add,sell,653329,384,9768
1784862986869408563,cancel,sell,653329,0,9768
1784862986869408563,add,sell,653329,294,9769
1784862986869408563,add,sell,653298,90,9770
1784862987004533199,cancel,sell,653298,0,9770
1784862987004533199,cancel,sell,653457,0,9767
1784862987004533199,add,sell,653457,20739,9771
1784862987004533199,cancel,sell,653329,0,9769
1784862987004533199,add,sell,653329,384,9772
1784862987006340464,cancel,sell,653329,0,9772
1784862987006340464,add,sell,653329,294,9773
1784862987006340464,add,sell,653298,90,9774
1784862987006485219,cancel,sell,653298,0,9774
1784862987006485219,cancel,sell,653457,0,9771
1784862987006485219,add,sell,653457,20739,9775
1784862987006485219,cancel,sell,653329,0,9773
1784862987006485219,add,sell,653329,384,9776
1784862987006543717,cancel,sell,653329,0,9776
1784862987006543717,add,sell,653329,294,9777
1784862987006543717,add,sell,653298,90,9778
1784862987006585407,cancel,sell,653298,0,9778
1784862987006585407,cancel,sell,653457,0,9775
1784862987006585407,add,sell,653457,20739,9779
1784862987006585407,cancel,sell,653329,0,9777
1784862987006585407,add,sell,653329,384,9780
1784862987031720967,cancel,sell,653329,0,9780
1784862987031720967,add,sell,653329,294,9781
1784862987031720967,add,sell,653298,90,9782
1784862987122883622,cancel,buy,653224,0,9749
1784862987122883622,cancel,buy,653125,0,9756
1784862987122883622,add,buy,653125,93920,9783
1784862987122883622,add,buy,653210,3643046,9784
1784862987141605236,cancel,buy,653210,0,9784
1784862987141605236,cancel,buy,653125,0,9783
1784862987141605236,add,buy,653125,93920,9785
1784862987141605236,add,buy,653224,3642996,9786
1784862987750564739,cancel,sell,653378,0,9759
1784862987750564739,cancel,sell,653457,0,9779
1784862987750564739,add,sell,653457,20739,9787
1784862987750746630,cancel,sell,653376,0,9754
1784862987750746630,cancel,sell,653458,0,9761
1784862987750746630,add,sell,653458,849,9788
1784862987750801960,cancel,sell,653417,0,9731
1784862987750801960,add,sell,653417,131094,9789
1784862987750843853,add,sell,653386,765245,9790
1784862987750874987,add,sell,653437,82593,9791
1784862987750906065,cancel,buy,653224,0,9786
1784862987750906065,cancel,buy,653125,0,9785
1784862987750906065,add,buy,653125,93920,9792
1784862987750906065,cancel,buy,653244,0,9757
1784862987750906065,add,buy,653244,3675011,9793
1784862987750947375,cancel,buy,653244,0,9793
1784862987750947375,add,buy,653244,3644420,9794
1784862987750947375,cancel,buy,653249,0,9760
1784862987750947375,add,buy,653249,1471029,9795
1784862987773616950,cancel,buy,653244,0,9794
1784862987773616950,add,buy,653244,1531,9796
1784862987773616950,add,buy,653234,3642906,9797
1784862988157363992,cancel,buy,653234,0,9797
1784862988157363992,cancel,buy,653125,0,9792
1784862988157363992,add,buy,653125,93920,9798
1784862988157363992,add,buy,653224,3642967,9799
1784862988430142925,cancel,sell,653386,0,9790
1784862988430142925,cancel,sell,653457,0,9787
1784862988430142925,add,sell,653457,20739,9800
1784862988430337081,add,sell,653376,765257,9801
1784862988430395056,cancel,buy,653163,0,9726
1784862988430395056,add,buy,653163,2296514,9802
1784862988430439567,cancel,buy,653249,0,9795
1784862988430439567,add,buy,653249,1314210,9803
1784862988430473612,add,sell,653414,1530,9804
1784862988539213071,add,sell,653397,82593,9805
1784862988772194403,cancel,buy,653224,0,9799
1784862988772194403,cancel,buy,653125,0,9798
1784862988772194403,add,buy,653125,93920,9806
1784862988772194403,add,buy,653210,3643041,9807
1784862988772382341,cancel,sell,653414,0,9804
1784862988772382341,cancel,sell,653432,0,9666
1784862988772382341,add,sell,653432,59000,9808
1784862988772440623,add,sell,653400,1530,9809
1784862988772479611,cancel,buy,653249,0,9803
1784862988772479611,add,buy,653249,1481380,9810
1784862988851220604,cancel,buy,653210,0,9807
1784862988851220604,cancel,buy,653125,0,9806
1784862988851220604,add,buy,653125,93920,9811
1784862988851220604,add,buy,653224,3643015,9812
1784862989018603482,add,buy,653143,327261,9813
1784862989824406318,cancel,buy,653224,0,9812
1784862989824406318,cancel,buy,653126,0,9639
1784862989824406318,add,buy,653126,294,9814
1784862989824406318,add,buy,653210,3643040,9815
1784862989856714471,cancel,buy,653210,0,9815
1784862989856714471,cancel,buy,653126,0,9814
